target,family,scope,mode,kind,radius,loss,gain_over_constant,loss_increase_from_original
outcome,linear,solo,refit,random,0.2,0.687342702524163,0.0008138669353597399,-2.692283264120121e-05
outcome,linear,solo,refit,targeted,0.02,0.6873834031326873,0.0007731663268354394,1.3777775883099253e-05
outcome,linear,solo,refit,targeted,0.05,0.6873762646503795,0.0007803048091432218,6.639293575316785e-06
outcome,linear,solo,refit,targeted,0.1,0.6873895136092842,0.0007670558502384317,1.988825248010695e-05
outcome,linear,solo,refit,targeted,0.2,0.6874895209727272,0.0006670484867955873,0.0001198956159229514
outcome,spline,conditional,frozen,random,0.02,0.6169231792809421,0.07123339017858066,6.201680181233904e-06
outcome,spline,conditional,frozen,random,0.05,0.6169455326626254,0.07121103679689736,2.8555061864530273e-05
outcome,spline,conditional,frozen,random,0.1,0.6170962350580639,0.07106033440145891,0.0001792574573029837
outcome,spline,conditional,frozen,random,0.2,0.6181637469638144,0.06999282249570847,0.0012467693630534252
outcome,spline,conditional,frozen,targeted,0.02,0.6168870748875454,0.07126949457197745,-2.9902713215559375e-05
outcome,spline,conditional,frozen,targeted,0.05,0.6174399950769874,0.07071657438253538,0.0005230174762265083
outcome,spline,conditional,frozen,targeted,0.1,0.6189387939362672,0.06921777552325556,0.002021816335506341
outcome,spline,conditional,frozen,targeted,0.2,0.6219914605284833,0.06616510893103943,0.005074482927722466
outcome,spline,conditional,original,original,0.0,0.6169169776007608,0.0712395918587619,0.0
outcome,spline,conditional,refit,random,0.02,0.616920587473035,0.07123598198648778,3.609872274108028e-06
outcome,spline,conditional,refit,random,0.05,0.6169191601393342,0.07123740932018842,2.1825385734777214e-06
outcome,spline,conditional,refit,random,0.1,0.6169282663187284,0.07122830314079434,1.128871796755515e-05
outcome,spline,conditional,refit,random,0.2,0.6170066307412767,0.07114993871824603,8.96531405158587e-05
outcome,spline,conditional,refit,targeted,0.02,0.6170118497125212,0.0711447197470015,9.487211176039346e-05
outcome,spline,conditional,refit,targeted,0.05,0.6172910709569538,0.07086549850256897,0.0003740933561929305
